Nazwisko aktualne,Liczba
KUKLA,3054
BISKUP,3051
SZOT,3051
WIŚNIOWSKI,3046
MAKUCH,3044
SZAREK,3044
KRASOWSKI,3042
IZDEBSKI,3040
NAPIERAŁA,3036
ROSZKOWSKI,3036
KARCZ,3035
GRUDZIŃSKI,3027
STUDZIŃSKI,3026
RATAJCZYK,3025
KWIATEK,3016
OLIINYK,3015
KAWKA,3010
RYBKA,3010
KRUKOWSKI,3008
ŚLEDŹ,2998
MACKIEWICZ,2995
KUSIAK,2983
JÓŹWIK,2980
JAKUBCZYK,2975
SIWIEC,2968
ŁUKASZEWICZ,2965
MAZIARZ,2961
MAŃKA,2959
PAPROCKI,2955
ROSZAK,2952
DUSZYŃSKI,2943
BOBROWSKI,2942
FILIP,2942
ROŻEK,2942
JEZIORSKI,2932
RESZKA,2926
ALEKSANDROWICZ,2925
WACH,2923
TKACHUK,2920
GRZYBEK,2919
SIDOR,2919
KRASZEWSKI,2915
SZKUDLAREK,2913
WOJDA,2912
TKACZ,2905
WERNER,2898
SMOLEŃ,2890
HOFFMANN,2882
MAŁKOWSKI,2880
SZELIGA,2880
GRODZKI,2879
DROŻDŻ,2877
TUROWSKI,2876
MIELCAREK,2875
KORCZAK,2872
RUSEK,2869
WRZESIŃSKI,2869
WAJDA,2867
ŚPIEWAK,2858
KULPA,2855
PIECH,2855
PĘKALA,2853
KĘPKA,2852
SCHMIDT,2851
NIEDZIELA,2848
STASZAK,2846
SZCZUREK,2846
KRÓLAK,2844
KRUSZYŃSKI,2837
SZOPA,2831
OLECH,2826
RZEPECKI,2825
BUGAJSKI,2817
MARTYNIUK,2816
MAJKOWSKI,2815
GĄSIOREK,2808
KORZENIEWSKI,2808
PERKOWSKI,2808
GOLA,2805
LEWIŃSKI,2805
SUSKI,2799
GRABARCZYK,2798
SZYMANEK,2796
PLICHTA,2794
LIPIEC,2793
BARTOSZEK,2789
KOSMALA,2788
RODAK,2787
LANGE,2786
KRAVCHENKO,2783
SKONIECZNY,2781
KAPUŚCIŃSKI,2779
JAKUBIEC,2776
BOGDAŃSKI,2772
RADZISZEWSKI,2770
KOKOSZKA,2754
ROGOZIŃSKI,2752
PISZCZEK,2749
KURZAWA,2748
ORZEŁ,2747
WOJTOWICZ,2745
KUPIEC,2743
OLSZAK,2738
WRZOSEK,2736
SUŁKOWSKI,2734
WASIELEWSKI,2732
ROKICKI,2730
SZPAK,2729
SUCHECKI,2728
PASZKIEWICZ,2719
PISAREK,2719
OŻÓG,2718
RACZKOWSKI,2718
RÓG,2718
GOLIŃSKI,2715
KAŹMIERSKI,2710
JASKULSKI,2709
KAWALEC,2708
KOZAKIEWICZ,2707
WIELGUS,2700
BIELA,2699
DYMEK,2699
BURDA,2697
KOKOT,2696
GOŁĄBEK,2691
KOPROWSKI,2691
GŁADYSZ,2690
GRUCA,2689
WYRZYKOWSKI,2688
ZAPAŁA,2685
STOKŁOSA,2684
CHROBAK,2678
JANCZAK,2678
OSOWSKI,2678
POTOCKI,2678
SUDOŁ,2677
ŚWIERCZEK,2669
WOJTASZEK,2669
ADAMIEC,2668
BANASZAK,2667
BIAŁECKI,2666
BARSZCZ,2661
BRZESKI,2660
BUGAJ,2659
GARBACZ,2658
PLEWA,2657
BRODOWSKI,2655
MACH,2654
BOJARSKI,2647
KONARSKI,2645
POLISHCHUK,2645
ROMAŃSKI,2644
SOLECKI,2642
MATUSIK,2640
JAMRÓZ,2638
LASEK,2638
SZYMANOWSKI,2637
PIERZCHAŁA,2635
LOREK,2633
SMOLAREK,2633
KALIŃSKI,2629
NOWIŃSKI,2623
MĄCZKA,2615
BALICKI,2613
KAROLAK,2610
BILIŃSKI,2609
KOSTKA,2608
SUROWIEC,2608
WASZKIEWICZ,2608
SZCZYGIELSKI,2605
PŁATEK,2600
KOCHAŃSKI,2594
GABRYŚ,2593
WAGNER,2585
PISKORZ,2584
BERNAT,2581
SALA,2581
TRACZYK,2581
ŁACH,2580
PUCHAŁA,2579
CZARNOTA,2578
PIECHOCKI,2578
BIEL,2576
ŚWITAŁA,2574
WŁOCH,2566
KOLASIŃSKI,2565
AMBROZIAK,2563
PASZEK,2562
WÓJCIAK,2557
WEBER,2555
PASEK,2550
BOGDAN,2547
WALCZYK,2545
DZIKOWSKI,2544
ZBOROWSKI,2544
OKOŃ,2543
STENCEL,2541
BARON,2538
KEMPA,2537
SZYMANIAK,2534
BŁOŃSKI,2533
ZAWISTOWSKI,2533
SKWAREK,2529
PIĘTA,2528
MĄDRY,2526
OGÓREK,2526
FRANCZAK,2524
WDOWIAK,2522
OSUCH,2520
CICHOSZ,2519
KRAUZE,2519
KOMAR,2517
BUREK,2516
GRELA,2516
BATOR,2515
ADAMCZEWSKI,2512
DOLATA,2512
OLEŚ,2511
WIELGOSZ,2510
JAROSZEWSKI,2508
KOZYRA,2508
DZIURA,2505
WACHOWIAK,2502
STACHOWSKI,2499
OZGA,2498
WĄSOWSKI,2498
BONDAR,2495
GAZDA,2494
FERENC,2493
WALIGÓRA,2492
MIECZKOWSKI,2491
ZARĘBSKI,2491
FIGURA,2490
MODRZEJEWSKI,2487
DRĄG,2486
DOLIŃSKI,2484
KAPICA,2482
GÓRALCZYK,2480
MULARCZYK,2479
GROBELNY,2475
JEDYNAK,2475
MAJDA,2475
ZAWISZA,2474
MYŚLIWIEC,2471
NADOLNY,2469
BARTNICKI,2466
CIOŁEK,2466
STĘPNIEWSKI,2466
ĆWIK,2462
GRABSKI,2462
PÓŁTORAK,2462
DUTKIEWICZ,2460
KOŚCIELNIAK,2460
ŁOŚ,2460
KWAŚNY,2459
MROWIEC,2458
PARADOWSKI,2458
MIŚ,2456
JASKÓLSKI,2455
KOZERA,2455
SMYK,2455
KULAS,2454
LEMAŃSKI,2450
GRYGIEL,2446
KRASKA,2446
ŁAWNICZAK,2445
BROŻEK,2440
WNĘK,2438
LACHOWICZ,2437
MIREK,2435
KLIMAS,2433
KOZICKI,2433
BERNACKI,2432
GAŁECKI,2430
KREFT,2430
KULIKOWSKI,2428
BOROŃ,2427
KOCHANOWSKI,2423
NALEPA,2421
ANTONIAK,2420
MŁYNARSKI,2420
NADOLSKI,2419
RYBA,2418
SOBOŃ,2417
KOŁODZIEJCZAK,2415
SZADKOWSKI,2413
GAJ,2411
STOPA,2411
TABOR,2408
GALIŃSKI,2406
SPYCHAŁA,2402
WINNICKI,2401
CZAPLIŃSKI,2400
KIM,2400
SITKO,2399
SZWEDA,2394
KOSTRZEWSKI,2393
BIEŃ,2390
CZUBA,2389
SZCZEPANEK,2385
PORĘBA,2383
PRZYBYSZEWSKI,2383
ĆWIKLIŃSKI,2380
KĄKOL,2380
WYDRA,2380
WĘGLARZ,2377
SZAFRAN,2376
BARTOSIEWICZ,2366
NIEZGODA,2360
BŁAŻEJEWSKI,2358
SKORUPSKI,2356
FILIPCZAK,2355
BUDA,2354
PASTUSZKA,2352
PAJOR,2351
FIGIEL,2345
NOSAL,2345
BARTKOWSKI,2343
BŁASZKIEWICZ,2338
JANECZEK,2338
TYMIŃSKI,2337
KLUSKA,2335
TARASIUK,2333
TURSKI,2332
SARNOWSKI,2331
GLIŃSKI,2326
DOBRZAŃSKI,2324
GAJEK,2324
ŚLIWKA,2324
WALAS,2324
KLIMASZEWSKI,2322
WISZNIEWSKI,2321
PIETRZYKOWSKI,2316
MACHNIK,2315
RYCHLIK,2315
FLAK,2314
ŁUGOWSKI,2312
KRÓLIK,2311
WCISŁO,2311
GUZ,2310
MORAWIEC,2309
ŚWIERCZ,2308
SOBOCIŃSKI,2307
KRAVCHUK,2303
IWANOWSKI,2298
GALAS,2297
GIZA,2297
CHOJECKI,2296
BUDNY,2294
GOŁASZEWSKI,2294
ZASADA,2294
WIERZCHOWSKI,2292
KRAUSE,2289
SŁOMIŃSKI,2289
RYBIŃSKI,2288
CZAPIEWSKI,2281
FURTAK,2278
KAZIMIERCZAK,2278
ŁAKOMY,2278
MARCINKIEWICZ,2277
ZIOMEK,2277
ZAWIŚLAK,2276
SEWERYN,2274
BRYŁA,2272
KALITA,2270
RYBACKI,2269
MIKUŁA,2267
RUMIŃSKI,2267
WILCZEWSKI,2267
JACKIEWICZ,2266
IWANICKI,2265
KASPERSKI,2265
MIZERA,2265
OLENDER,2265
SZCZOTKA,2256
BOJANOWSKI,2252
MARCZEWSKI,2252
KLONOWSKI,2248
GOLONKA,2245
MISZCZAK,2245
PIEŃKOWSKI,2244
MAKAREWICZ,2242
SŁOMKA,2242
TRUSZKOWSKI,2242
DANIEL,2241
MUSIOŁ,2241
TUSZYŃSKI,2241
GAŁUSZKA,2240
KALBARCZYK,2240
SZUBERT,2240
RADZIKOWSKI,2238
SZOSTEK,2236
KŁOSIŃSKI,2225
